RUT;NRO_DOC;CUOTA;TIPO_DOC;PROTESTO;FEC_VENC;FEC_PROTESTO;FEC_EMISION;MONTO;MONTO_PROTESTO;BANCO;RUT_DEUDOR;OBSERVACIONES;ADICIONAL1;ADICIONAL2;ADICIONAL3;ADICIONAL4;ADICIONAL5;CUSTODIO
22222222-2;18545-4;1;LETRA PROT;;01/06/2010;;;376867;9215;;;;LA SERENA;;;;;
22222222-2;18605-4;1;LETRA PROT;;01/06/2010;;;376464;9215;;;;LA SERENA;;;;;
33333333-3;19195-4;1;LETRA PROT;;01/06/2010;;;375962;9215;;;;LA SERENA;;;;;
33333333-3;19254-3;1;LETRA PROT;;01/05/2010;;;197875;9197;;;;LA SERENA;;;;;
44444444-4;19195-4;1;LETRA PROT;;01/06/2010;;;375962;9215;;;;LA SERENA;;;;;
44444444-4;19254-3;1;LETRA PROT;;01/05/2010;;;197875;9197;;;;LA SERENA;;;;;
55555555-5;111113;1;LETRA PROT;;01/06/2010;;;375962;9215;;;;SANTIAGO;;;;;
55555555-5;111114;1;LETRA PROT;;01/05/2010;;;197875;9197;;;;SANTIAGO;;;;;
66666666-6;111115;1;LETRA PROT;;01/06/2010;;;198824;7316;;;;SANTIAGO;;;;;
66666666-6;111116;1;LETRA PROT;;01/05/2010;;;376867;9197;;;;SANTIAGO;;;;;
